perturbation,level,accuracy
gaussian,0.01,0.9785970496709979
gaussian,0.02,0.997921467087916
gaussian,0.03,0.9906287858992328
gaussian,0.04,0.978727700311186
gaussian,0.05,0.9812932037912441
gaussian,0.06,0.9980164857353255
gaussian,0.07,0.9941207211915338
gaussian,0.08,0.9960448488015773
gaussian,0.09,0.9909257191723876
gaussian,0.1,0.9969831579447467
gaussian,0.11,0.9979452217497684
gaussian,0.12,0.9979689764116207
gaussian,0.13,0.9979570990806946
gaussian,0.14,0.9972088272323444
gaussian,0.15,0.9810200251799416
gaussian,0.16,0.9636434900349193
gaussian,0.17,0.9979927310734732
gaussian,0.18,0.978846473620448
gaussian,0.19,0.9979452217497684
gaussian,0.2,0.9970187899375252
gaussian,0.21,0.9902368339786684
gaussian,0.22,0.9979570990806946
gaussian,0.23,0.9979927310734732
gaussian,0.24,0.997125685915861
gaussian,0.25,0.9978977124260636
random_sc,0.01,0.9961161127871345
random_sc,0.02,0.9927667054659477
random_sc,0.03,0.9970306672684515
random_sc,0.04,0.9631446421360192
random_sc,0.05,0.9979333444188422
random_sc,0.06,0.9962348860963964
random_sc,0.07,0.9358267810057724
random_sc,0.08,0.9647124498182769
random_sc,0.09,0.997980853742547
random_sc,0.1,0.9971731952395657
random_sc,0.11,0.9856403069102311
random_sc,0.12,0.9816020143953251
random_sc,0.13,0.9969594032828942
random_sc,0.14,0.9979689764116207
random_sc,0.15,0.9940257025441243
random_sc,0.16,0.8699075943653942
random_sc,0.17,0.9738342399695941
random_sc,0.18,0.8702401596313276
random_sc,0.19,0.8702639142931801
random_sc,0.2,0.9980046084043994
random_sc,0.21,0.9636909993586241
random_sc,0.22,0.9909969831579447
random_sc,0.23,0.998040240397178
random_sc,0.24,0.9939544385585671
random_sc,0.25,0.997921467087916
feature_d,0.01,0.8738389909019645
feature_d,0.02,0.9103142741763071
feature_d,0.03,0.852899256479084
feature_d,0.04,0.900159156234411
feature_d,0.05,0.8946005653609521
feature_d,0.06,0.8617122360263202
feature_d,0.07,0.8904910088604888
feature_d,0.08,0.8687673705964796
feature_d,0.09,0.879373827113571
feature_d,0.1,0.8769746062664798
feature_d,0.11,0.8738508682328907
feature_d,0.12,0.869159322517044
feature_d,0.13,0.8743972254554956
feature_d,0.14,0.8755255718934841
feature_d,0.15,0.8730075777371309
feature_d,0.16,0.8698244530489109
feature_d,0.17,0.8698719623726157
feature_d,0.18,0.8624011212200394
feature_d,0.19,0.8654060859443666
feature_d,0.2,0.8682091360429485
feature_d,0.21,0.8685298239779556
feature_d,0.22,0.86548922726085
feature_d,0.23,0.8535881416728033
feature_d,0.24,0.8538613202841058
feature_d,0.25,0.8442050502411098
feature_p,0.01,0.9856759389030098
feature_p,0.02,0.9970781765921563
feature_p,0.03,0.9979452217497684
feature_p,0.04,0.9817920516901442
feature_p,0.05,0.8717485806589543
feature_p,0.06,0.9854740242772644
feature_p,0.07,0.9980283630662518
feature_p,0.08,0.9980046084043994
feature_p,0.09,0.9119889778369005
feature_p,0.1,0.9905693992446017
feature_p,0.11,0.8597287217616457
feature_p,0.12,0.9652588070408817
feature_p,0.13,0.9364562795448607
feature_p,0.14,0.9227260849941801
feature_p,0.15,0.9771123833052237
feature_p,0.16,0.9432501128346438
feature_p,0.17,0.9218234078437894
feature_p,0.18,0.9545098225526759
feature_p,0.19,0.8681022400646127
feature_p,0.2,0.9870893412832268
feature_p,0.21,0.9220609544623132
feature_p,0.22,0.8997909589756989
feature_p,0.23,0.8814286053638026
feature_p,0.24,0.9328336936123715
feature_p,0.25,0.9353635650996508
