level,accuracy
0.01,0.6051
0.02,0.7292
0.03,0.7069
0.04,0.7117
0.05,0.6021
0.06,0.6830
0.07,0.6452
0.08,0.6771
0.09,0.6167
0.10,0.4609
0.11,0.5766
0.12,0.5964
0.13,0.5928
0.14,0.4877
0.15,0.4826
0.16,0.4733
0.17,0.6207
0.18,0.3886
0.19,0.4188
0.20,0.5469
0.21,0.5237
0.22,0.4810
0.23,0.3902
0.24,0.4498
0.25,0.4133
