level,accuracy
0.01,0.6715
0.02,0.8530
0.03,0.7879
0.04,0.5542
0.05,0.5284
0.06,0.5098
0.07,0.5011
0.08,0.5026
0.09,0.5409
0.10,0.4071
0.11,0.3965
0.12,0.4549
0.13,0.4841
0.14,0.3932
0.15,0.3327
0.16,0.3739
0.17,0.3794
0.18,0.3197
0.19,0.3554
0.20,0.3018
0.21,0.3803
0.22,0.2711
0.23,0.2836
0.24,0.3111
0.25,0.3371
