level,accuracy
0.01,0.6361
0.02,0.8102
0.03,0.8058
0.04,0.5970
0.05,0.7514
0.06,0.7312
0.07,0.5891
0.08,0.5662
0.09,0.6692
0.10,0.5029
0.11,0.6774
0.12,0.6705
0.13,0.3482
0.14,0.4837
0.15,0.2938
0.16,0.5075
0.17,0.2402
0.18,0.3295
0.19,0.5296
0.20,0.4225
0.21,0.5726
0.22,0.5116
0.23,0.4728
0.24,0.3861
0.25,0.4052
