perturbation,level,accuracy
gaussian,0.01,0.9282015345511556
gaussian,0.02,0.9344608879492601
gaussian,0.03,0.9440815259994774
gaussian,0.04,0.9284628358315319
gaussian,0.05,0.9262417749483336
gaussian,0.06,0.9152433665106777
gaussian,0.07,0.808941254721239
gaussian,0.08,0.9301375394921253
gaussian,0.09,0.9284865904933843
gaussian,0.1,0.9255291350927619
gaussian,0.11,0.9291873530180298
gaussian,0.12,0.9428225289213008
gaussian,0.13,0.934888471862603
gaussian,0.14,0.9319310164619806
gaussian,0.15,0.9336175974535003
gaussian,0.16,0.9149108012447443
gaussian,0.17,0.9105161888020524
gaussian,0.18,0.9343896239637028
gaussian,0.19,0.9195192056441076
gaussian,0.2,0.9426324916264817
gaussian,0.21,0.944057771337625
gaussian,0.22,0.9295317956148894
gaussian,0.23,0.935316055775946
gaussian,0.24,0.8113285982374041
gaussian,0.25,0.9293298809891442
random_sc,0.01,0.9201130721904174
random_sc,0.02,0.9430363208779723
random_sc,0.03,0.9288072784283916
random_sc,0.04,0.9354942157398389
random_sc,0.05,0.9300068888519372
random_sc,0.06,0.9408033826638478
random_sc,0.07,0.9445328645746728
random_sc,0.08,0.9283203078604176
random_sc,0.09,0.8986626125377105
random_sc,0.1,0.9352329144594627
random_sc,0.11,0.9351972824666841
random_sc,0.12,0.9269781694657576
random_sc,0.13,0.9305294914126897
random_sc,0.14,0.9351735278048317
random_sc,0.15,0.9116089032472623
random_sc,0.16,0.8103546571014562
random_sc,0.17,0.9266456041998242
random_sc,0.18,0.934639047913153
random_sc,0.19,0.9321685630805046
random_sc,0.2,0.9191985177091004
random_sc,0.21,0.9358861676604033
random_sc,0.22,0.9107537354205762
random_sc,0.23,0.9408865239803311
random_sc,0.24,0.9445328645746728
random_sc,0.25,0.9345440292657434
feature_d,0.01,0.941183457253486
feature_d,0.02,0.8955388745041214
feature_d,0.03,0.9379053139178564
feature_d,0.04,0.9323942323681023
feature_d,0.05,0.9234743568425303
feature_d,0.06,0.9288547877520964
feature_d,0.07,0.9295080409530371
feature_d,0.08,0.9277383186450341
feature_d,0.09,0.8896952276884339
feature_d,0.1,0.9242107513599543
feature_d,0.11,0.8863220657053947
feature_d,0.12,0.9068104615530798
feature_d,0.13,0.8952181865691142
feature_d,0.14,0.9132004655913724
feature_d,0.15,0.9065372829417774
feature_d,0.16,0.9033066489298525
feature_d,0.17,0.8966078342874789
feature_d,0.18,0.898199396631589
feature_d,0.19,0.899672185666437
feature_d,0.2,0.8787562059054089
feature_d,0.21,0.8998622229612562
feature_d,0.22,0.8004370857780839
feature_d,0.23,0.8852174739292586
feature_d,0.24,0.8833052236501413
feature_d,0.25,0.8948262346485498
feature_p,0.01,0.9355773570563223
feature_p,0.02,0.9290685797087679
feature_p,0.03,0.9301969261467563
feature_p,0.04,0.9155521771147588
feature_p,0.05,0.9344965199420386
feature_p,0.06,0.9410409292823717
feature_p,0.07,0.9341164453524005
feature_p,0.08,0.8120174834311233
feature_p,0.09,0.921431455923225
feature_p,0.1,0.91954296030596
feature_p,0.11,0.929080457039694
feature_p,0.12,0.8830201677079127
feature_p,0.13,0.9105636981257572
feature_p,0.14,0.9307076513765826
feature_p,0.15,0.9104449248164952
feature_p,0.16,0.890253462241965
feature_p,0.17,0.917583200703138
feature_p,0.18,0.8502862436753212
feature_p,0.19,0.7901988265197045
feature_p,0.2,0.8920350618808941
feature_p,0.21,0.893923557498159
feature_p,0.22,0.8945649333681736
feature_p,0.23,0.7937382711357104
feature_p,0.24,0.7713732570016866
feature_p,0.25,0.8931040216642516
