perturbation,level,accuracy
gaussian,0.01,0.9408865239803311
gaussian,0.02,0.9350785091574222
gaussian,0.03,0.9195904696296648
gaussian,0.04,0.8984250659191867
gaussian,0.05,0.9438914887046583
gaussian,0.06,0.9292942489963656
gaussian,0.07,0.9350903864883483
gaussian,0.08,0.928831033090244
gaussian,0.09,0.929876238211749
gaussian,0.1,0.9324061096990285
gaussian,0.11,0.9351616504739055
gaussian,0.12,0.9258023137040644
gaussian,0.13,0.9296980782478561
gaussian,0.14,0.9118464498657861
gaussian,0.15,0.934947858517234
gaussian,0.16,0.9119652231750481
gaussian,0.17,0.934829085207972
gaussian,0.18,0.9105280661329785
gaussian,0.19,0.9289141744067273
gaussian,0.2,0.9343658693018505
gaussian,0.21,0.944235931301518
gaussian,0.22,0.9284390811696795
gaussian,0.23,0.9274770173646578
gaussian,0.24,0.9130104282965532
gaussian,0.25,0.8110672969570278
random_sc,0.01,0.9260873696462931
random_sc,0.02,0.9113951112905908
random_sc,0.03,0.9429056702377842
random_sc,0.04,0.9302444354704611
random_sc,0.05,0.9347696985533411
random_sc,0.06,0.929080457039694
random_sc,0.07,0.9359217996531819
random_sc,0.08,0.92968620091693
random_sc,0.09,0.9301494168230515
random_sc,0.1,0.9326555336484785
random_sc,0.11,0.9349716131790864
random_sc,0.12,0.9429888115542675
random_sc,0.13,0.8983538019336295
random_sc,0.14,0.9191153763926171
random_sc,0.15,0.9411121932679288
random_sc,0.16,0.9408033826638478
random_sc,0.17,0.9351735278048317
random_sc,0.18,0.9337720027555407
random_sc,0.19,0.9359811863078129
random_sc,0.2,0.9133548708934128
random_sc,0.21,0.9283084305294914
random_sc,0.22,0.9261230016390717
random_sc,0.23,0.9349003491935293
random_sc,0.24,0.9307195287075088
random_sc,0.25,0.9320972990949474
feature_d,0.01,0.9128916549872913
feature_d,0.02,0.9135211535263795
feature_d,0.03,0.9293536356509965
feature_d,0.04,0.9268593961564957
feature_d,0.05,0.9246264579423712
feature_d,0.06,0.9238900634249472
feature_d,0.07,0.930113784830273
feature_d,0.08,0.9190441124070599
feature_d,0.09,0.8889232011782312
feature_d,0.1,0.8979380953512127
feature_d,0.11,0.9141031427417631
feature_d,0.12,0.8936266242250042
feature_d,0.13,0.904862579281184
feature_d,0.14,0.9082594959260755
feature_d,0.15,0.8988526498325297
feature_d,0.16,0.9137111908211987
feature_d,0.17,0.9107181034277977
feature_d,0.18,0.901928878542414
feature_d,0.19,0.8983538019336295
feature_d,0.2,0.8962040050359883
feature_d,0.21,0.8947549706629926
feature_d,0.22,0.8940542081383471
feature_d,0.23,0.8799914483217331
feature_d,0.24,0.8000451338575195
feature_d,0.25,0.8868803002589258
feature_p,0.01,0.9445328645746728
feature_p,0.02,0.9360999596170748
feature_p,0.03,0.927370121386322
feature_p,0.04,0.9323586003753237
feature_p,0.05,0.9260754923153669
feature_p,0.06,0.9354704610779866
feature_p,0.07,0.9116089032472623
feature_p,0.08,0.9332494001947882
feature_p,0.09,0.9333325415112715
feature_p,0.1,0.9129866736347008
feature_p,0.11,0.9158372330569874
feature_p,0.12,0.8056037247309784
feature_p,0.13,0.8031332398983301
feature_p,0.14,0.9232486875549326
feature_p,0.15,0.9109081407226168
feature_p,0.16,0.8943273867496496
feature_p,0.17,0.9152671211725301
feature_p,0.18,0.883222082333658
feature_p,0.19,0.7984416941824833
feature_p,0.2,0.8813335867163931
feature_p,0.21,0.891726251276813
feature_p,0.22,0.8848017673468418
feature_p,0.23,0.905539587143977
feature_p,0.24,0.8649547473691712
feature_p,0.25,0.8829013943986508
